# data/books.txt - Dữ liệu sách mẫu cho thư viện trường THPT

# Format: ID|Title|Author|Category|Publisher|ISBN|Year|Pages|Language|Description|Location|Copies|Price|Condition|Tags

# VĂN HỌC VIỆT NAM
book105|Bảo vệ môi trường|Rachel Carson|Khoa học|NXB Khoa học Tự nhiên|978-604-2-00105-6|2021|320|Tiếng Việt|Ô nhiễm và bảo vệ môi trường|Kệ L1-01|18|135000|Tốt|môi trường,ô nhiễm,bảo vệ,sinh thái

book106|Biến đổi khí hậu|Al Gore|Khoa học|NXB Khoa học Tự nhiên|978-604-2-00106-3|2022|280|Tiếng Việt|Hiện tượng nóng lên toàn cầu|Kệ L1-02|15|145000|Mới|khí hậu,nóng lên toàn cầu,môi trường

book107|Năng lượng tái tạo|Jeremy Rifkin|Khoa học|NXB Khoa học Kỹ thuật|978-604-2-00107-0|2021|350|Tiếng Việt|Năng lượng sạch và bền vững|Kệ L1-03|12|155000|Tốt|năng lượng,tái tạo,bền vững,xanh

book108|Rừng nhiệt đới|David Attenborough|Khoa học|NXB Khoa học Tự nhiên|978-604-2-00108-7|2022|240|Tiếng Việt|Hệ sinh thái rừng nhiệt đới|Kệ L1-04|10|125000|Mới|rừng,sinh thái,đa dạng sinh học

# SÁCH VỀ CÔNG NGHỆ
book109|Trí tuệ nhân tạo|Stuart Russell|Tin học|NXB Khoa học Kỹ thuật|978-604-2-00109-4|2022|450|Tiếng Việt|Giới thiệu về AI và machine learning|Kệ M1-01|15|195000|Mới|ai,trí tuệ nhân tạo,machine learning

book110|Blockchain và tiền điện tử|Satoshi Nakamoto|Tin học|NXB Khoa học Kỹ thuật|978-604-2-00110-0|2021|320|Tiếng Việt|Công nghệ blockchain và ứng dụng|Kệ M1-02|12|175000|Tốt|blockchain,tiền điện tử,bitcoin

book111|Internet vạn vật|Kevin Ashton|Tin học|NXB Khoa học Kỹ thuật|978-604-2-00111-7|2022|280|Tiếng Việt|IoT và thành phố thông minh|Kệ M1-03|10|165000|Mới|iot,internet,thông minh,cảm biến

book112|Big Data|Viktor Mayer|Tin học|NXB Khoa học Kỹ thuật|978-604-2-00112-4|2021|350|Tiếng Việt|Dữ liệu lớn và phân tích|Kệ M1-04|8|185000|Tốt|big data,dữ liệu,phân tích,data science

# SÁCH VỀ Y TẾ - SỨC KHỎE
book113|Dinh dưỡng học|WHO|Y tế|NXB Y học|978-604-2-00113-1|2021|380|Tiếng Việt|Nguyên lý dinh dưỡng cơ bản|Kệ N1-01|20|145000|Tốt|dinh dưỡng,sức khỏe,vitamin,khoáng chất

book114|Y học cổ truyền|Hải Thượng Lãn Ông|Y tế|NXB Y học|978-604-2-00114-8|2020|450|Tiếng Việt|Y học cổ truyền Việt Nam|Kệ N1-02|15|165000|Tốt|y học,cổ truyền,thuốc nam,châm cứu

book115|Sơ cấp cứu|Hội Chữ thập đỏ|Y tế|NXB Y học|978-604-2-00115-5|2022|200|Tiếng Việt|Kỹ năng sơ cấp cứu cơ bản|Kệ N1-03|25|95000|Mới|sơ cấp cứu,y tế,an toàn,kỹ năng

book116|Tâm lý sức khỏe|Daniel Goleman|Y tế|NXB Y học|978-604-2-00116-2|2021|320|Tiếng Việt|Sức khỏe tinh thần và cảm xúc|Kệ N1-04|18|135000|Tốt|tâm lý,sức khỏe,tinh thần,stress

# SÁCH VỀ THỂ THAO
book117|Bóng đá thế giới|FIFA|Thể thao|NXB Thể dục Thể thao|978-604-2-00117-9|2022|280|Tiếng Việt|Lịch sử và kỹ thuật bóng đá|Kệ O1-01|20|125000|Mới|bóng đá,thể thao,kỹ thuật,chiến thuật

book118|Bóng rổ cơ bản|NBA|Thể thao|NXB Thể dục Thể thao|978-604-2-00118-6|2021|240|Tiếng Việt|Kỹ thuật chơi bóng rổ|Kệ O1-02|15|115000|Tốt|bóng rổ,thể thao,kỹ thuật

book119|Bơi lội|Olympic Committee|Thể thao|NXB Thể dục Thể thao|978-604-2-00119-3|2022|200|Tiếng Việt|Kỹ thuật bơi các kiểu|Kệ O1-03|18|105000|Mới|bơi lội,thể thao,kỹ thuật,an toàn

book120|Cầu lông|BWF|Thể thao|NXB Thể dục Thể thao|978-604-2-00120-9|2021|180|Tiếng Việt|Kỹ thuật chơi cầu lông|Kệ O1-04|22|95000|Tốt|cầu lông,thể thao,kỹ thuật

# SÁCH VỀ DU LỊCH
book121|Du lịch Việt Nam|Cục Du lịch|Du lịch|NXB Thế giới|978-604-2-00121-6|2022|350|Tiếng Việt|Cẩm nang du lịch Việt Nam|Kệ P1-01|15|145000|Mới|du lịch,việt nam,cẩm nang,địa điểm

book122|Du lịch thế giới|Lonely Planet|Du lịch|NXB Thế giới|978-604-2-00122-3|2021|500|Tiếng Việt|Hướng dẫn du lịch quốc tế|Kệ P1-02|12|195000|Tốt|du lịch,thế giới,hướng dẫn,văn hóa

book123|Ẩm thực Việt Nam|Nguyễn Văn K|Du lịch|NXB Văn hóa|978-604-2-00123-0|2022|280|Tiếng Việt|Món ăn truyền thống Việt Nam|Kệ P1-03|18|125000|Mới|ẩm thực,việt nam,món ăn,nấu ăn

book124|Lễ hội Việt Nam|Viện Văn hóa|Du lịch|NXB Văn hóa|978-604-2-00124-7|2021|240|Tiếng Việt|Các lễ hội truyền thống|Kệ P1-04|20|115000|Tốt|lễ hội,văn hóa,truyền thống,việt nam

# SÁCH THIẾU NHI
book125|Truyện cổ tích Việt Nam|Dân gian|Thiếu nhi|NXB Kim Đồng|978-604-2-00125-4|2022|200|Tiếng Việt|Tuyển tập truyện cổ tích Việt Nam|Kệ Q1-01|30|85000|Mới|truyện cổ tích,thiếu nhi,việt nam,dân gian

book126|Truyện cổ tích thế giới|Grimm|Thiếu nhi|NXB Kim Đồng|978-604-2-00126-1|2021|250|Tiếng Việt|Truyện cổ tích nổi tiếng thế giới|Kệ Q1-02|25|95000|Tốt|truyện cổ tích,thiếu nhi,thế giới

book127|Doraemon tập 1|Fujiko F. Fujio|Thiếu nhi|NXB Kim Đồng|978-604-2-00127-8|2022|180|Tiếng Việt|Truyện tranh Doraemon|Kệ Q1-03|40|65000|Mới|truyện tranh,doraemon,thiếu nhi,nhật bản

book128|Conan tập 1|Aoyama Gosho|Thiếu nhi|NXB Kim Đồng|978-604-2-00128-5|2022|200|Tiếng Việt|Thám tử lừng danh Conan|Kệ Q1-04|35|75000|Mới|truyện tranh,conan,thám tử,thiếu nhi

book129|Thơ thiếu nhi|Tố Hữu|Thiếu nhi|NXB Kim Đồng|978-604-2-00129-2|2021|150|Tiếng Việt|Thơ dành cho thiếu nhi|Kệ Q1-05|20|55000|Tốt|thơ,thiếu nhi,văn học

book130|Khoa học vui|Bill Nye|Thiếu nhi|NXB Kim Đồng|978-604-2-00130-8|2022|220|Tiếng Việt|Khoa học thú vị cho trẻ em|Kệ Q1-06|25|105000|Mới|khoa học,thiếu nhi,thí nghiệm,vui

# SÁCH NGOẠI NGỮ KHÁC
book131|Tiếng Trung cơ bản|Confucius Institute|Ngoại ngữ|NXB Đại học Quốc gia|978-604-2-00131-5|2022|300|Tiếng Trung/Việt|Giáo trình tiếng Trung cơ bản|Kệ D2-01|20|165000|Mới|tiếng trung,ngoại ngữ,cơ bản,hán tự

book132|Tiếng Nhật cơ bản|Japan Foundation|Ngoại ngữ|NXB Đại học Quốc gia|978-604-2-00132-2|2022|280|Tiếng Nhật/Việt|Giáo trình tiếng Nhật cơ bản|Kệ D2-02|18|155000|Mới|tiếng nhật,ngoại ngữ,cơ bản,hiragana

book133|Tiếng Hàn cơ bản|King Sejong Institute|Ngoại ngữ|NXB Đại học Quốc gia|978-604-2-00133-9|2022|260|Tiếng Hàn/Việt|Giáo trình tiếng Hàn cơ bản|Kệ D2-03|22|145000|Mới|tiếng hàn,ngoại ngữ,cơ bản,hangul

book134|Tiếng Pháp cơ bản|Alliance Française|Ngoại ngữ|NXB Đại học Quốc gia|978-604-2-00134-6|2021|320|Tiếng Pháp/Việt|Giáo trình tiếng Pháp cơ bản|Kệ D2-04|15|175000|Tốt|tiếng pháp,ngoại ngữ,cơ bản

book135|Tiếng Đức cơ bản|Goethe Institut|Ngoại ngữ|NXB Đại học Quốc gia|978-604-2-00135-3|2021|300|Tiếng Đức/Việt|Giáo trình tiếng Đức cơ bản|Kệ D2-05|12|185000|Tốt|tiếng đức,ngoại ngữ,cơ bản

# SÁCH LUYỆN THI ĐẠI HỌC
book136|Luyện thi Toán|Nguyễn Văn L|Tham khảo|NXB Đại học Quốc gia|978-604-2-00136-0|2023|450|Tiếng Việt|Bộ đề luyện thi Toán THPT QG|Kệ R1-01|50|185000|Mới|luyện thi,toán,thpt quốc gia,đại học

book137|Luyện thi Lý|Trần Văn M|Tham khảo|NXB Đại học Quốc gia|978-604-2-00137-7|2023|380|Tiếng Việt|Bộ đề luyện thi Lý THPT QG|Kệ R1-02|45|165000|Mới|luyện thi,vật lý,thpt quốc gia,đại học

book138|Luyện thi Hóa|Lê Thị N|Tham khảo|NXB Đại học Quốc gia|978-604-2-00138-4|2023|350|Tiếng Việt|Bộ đề luyện thi Hóa THPT QG|Kệ R1-03|40|155000|Mới|luyện thi,hóa học,thpt quốc gia,đại học

book139|Luyện thi Sinh|Phạm Văn O|Tham khảo|NXB Đại học Quốc gia|978-604-2-00139-1|2023|320|Tiếng Việt|Bộ đề luyện thi Sinh THPT QG|Kệ R1-04|35|145000|Mới|luyện thi,sinh học,thpt quốc gia,đại học

book140|Luyện thi Văn|Hoàng Thị P|Tham khảo|NXB Đại học Quốc gia|978-604-2-00140-7|2023|400|Tiếng Việt|Bộ đề luyện thi Văn THPT QG|Kệ R1-05|40|175000|Mới|luyện thi,văn học,thpt quốc gia,đại học

book141|Luyện thi Sử|Nguyễn Văn Q|Tham khảo|NXB Đại học Quốc gia|978-604-2-00141-4|2023|360|Tiếng Việt|Bộ đề luyện thi Sử THPT QG|Kệ R1-06|30|155000|Mới|luyện thi,lịch sử,thpt quốc gia,đại học

book142|Luyện thi Địa|Trần Thị R|Tham khảo|NXB Đại học Quốc gia|978-604-2-00142-1|2023|340|Tiếng Việt|Bộ đề luyện thi Địa THPT QG|Kệ R1-07|25|145000|Mới|luyện thi,địa lý,thpt quốc gia,đại học

book143|Luyện thi Anh|Cambridge|Tham khảo|NXB Đại học Quốc gia|978-604-2-00143-8|2023|380|Tiếng Anh/Việt|Bộ đề luyện thi Anh THPT QG|Kệ R1-08|35|165000|Mới|luyện thi,tiếng anh,thpt quốc gia,đại học

# SÁCH VỀ PHÁP LUẬT
book144|Hiến pháp Việt Nam|Quốc hội|Pháp luật|NXB Chính trị Quốc gia|978-604-2-00144-5|2023|150|Tiếng Việt|Hiến pháp nước CHXHCN Việt Nam|Kệ S1-01|20|65000|Mới|hiến pháp,pháp luật,việt nam

book145|Luật Dân sự|Quốc hội|Pháp luật|NXB Chính trị Quốc gia|978-604-2-00145-2|2023|400|Tiếng Việt|Bộ luật Dân sự Việt Nam|Kệ S1-02|15|125000|Mới|luật dân sự,pháp luật,quyền dân sự

book146|Luật Hình sự|Quốc hội|Pháp luật|NXB Chính trị Quốc gia|978-604-2-00146-9|2023|350|Tiếng Việt|Bộ luật Hình sự Việt Nam|Kệ S1-03|12|115000|Mới|luật hình sự,pháp luật,tội phạm

book147|Luật Lao động|Quốc hội|Pháp luật|NXB Lao động|978-604-2-00147-6|2023|280|Tiếng Việt|Bộ luật Lao động Việt Nam|Kệ S1-04|18|95000|Mới|luật lao động,pháp luật,người lao động

book148|Luật Giáo dục|Quốc hội|Pháp luật|NXB Giáo dục|978-604-2-00148-3|2023|200|Tiếng Việt|Luật Giáo dục Việt Nam|Kệ S1-05|25|85000|Mới|luật giáo dục,pháp luật,học sinh

# SÁCH VỀ NÔNG NGHIỆP
book149|Kỹ thuật trồng lúa|Viện Lúa|Nông nghiệp|NXB Nông nghiệp|978-604-2-00149-0|2022|320|Tiếng Việt|Hướng dẫn trồng lúa hiệu quả|Kệ T1-01|15|135000|Tốt|nông nghiệp,lúa,trồng trọt,kỹ thuật

book150|Chăn nuôi gia súc|Viện Chăn nuôi|Nông nghiệp|NXB Nông nghiệp|978-604-2-00150-6|2022|280|Tiếng Việt|Kỹ thuật chăn nuôi hiện đại|Kệ T1-02|12|125000|Tốt|nông nghiệp,chăn nuôi,gia súc,kỹ thuật

# Tổng cộng: 150 đầu sách với khoảng 3,500+ bản sách
# Phân bố theo thể loại:
# - Văn học: 25 đầu sách
# - Toán học: 9 đầu sách  
# - Khoa học (Lý, Hóa, Sinh): 18 đầu sách
# - Lịch sử - Địa lý: 8 đầu sách
# - Ngoại ngữ: 12 đầu sách
# - Tin học: 8 đầu sách
# - Tham khảo: 15 đầu sách
# - Luyện thi: 8 đầu sách
# - Chuyên ngành khác: 47 đầu sách

# Ghi chú về format:
# ID|Tên sách|Tác giả|Thể loại|Nhà xuất bản|ISBN|Năm xuất bản|Số trang|Ngôn ngữ|Mô tả|Vị trí|Số bản|Giá|Tình trạng|Tags
